label-dash	rangeIncludes	domainIncludes	has_label_snail	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
players-online	Integer	GameServer	players_online	players_online	playersOnline								Number of players on the server.
rating-count	Integer	AggregateRating	ratings	rating_count	ratingCount								The count of total number of ratings.
remaining-attendee-capacity	Integer	Event	remaining_attendees	remaining_attendee_capacity	remainingAttendeeCapacity								The number of attendee places for an event that remain unallocated.
repeat-count	Integer	Schedule	repeats	repeat_count	repeatCount	pending:							Defines the number of times a recurring <a class="localLink" href="/Event">Event</a> will take place.
required-max-age	Integer	PeopleAudience	required_max_age	required_max_age	requiredMaxAge								Audiences defined by a person's maximum age.
required-min-age	Integer	PeopleAudience	required_min_age	required_min_age	requiredMinAge								Audiences defined by a person's minimum age.
review-count	Integer	AggregateRating	reviews	review_count	reviewCount								The count of total number of reviews.
total-job-openings	Integer	JobPosting	total_job_openings	total_job_openings	totalJobOpenings	pending:							The number of positions open for this job posting. Use a positive integer. Do not use if the number of positions is unclear or not known.
upvote-count	Integer	Comment	upvotes	upvote_count	upvoteCount								The number of upvotes this question, answer or comment has received from the community.
user-interaction-count	Integer	InteractionCounter	user_interactions	user_interaction_count	userInteractionCount								The number of interactions for the CreativeWork using the WebSite or SoftwareApplication.
word-count	Integer	Article	words	word_count	wordCount								The number of words in the text of the Article.
num-adults	Integer, QuantitativeValue	LodgingReservation	adults	num_adults	numAdults								The number of adults staying in the unit.
num-children	Integer, QuantitativeValue	LodgingReservation	children	num_children	numChildren								The number of children staying in the unit.
party-size	Integer, QuantitativeValue	FoodEstablishmentReservation, TaxiReservation	party_members	party_size	partySize								Number of people the reservation should accommodate.
number-of-credits	Integer, StructuredValue	Course, EducationalOccupationalProgram	credits	number_of_credits	numberOfCredits	pending:							The number of credits or units awarded by a Course or required to complete an EducationalOccupationalProgram.
typical-credits-per-term	Integer, StructuredValue	EducationalOccupationalProgram	credits_per_term_typical	typical_credits_per_term	typicalCreditsPerTerm	pending:							The number of credits or units a full-time student would be expected to take in 1 term however 'term' is defined by the institution.
art-edition	Integer, Text	VisualArtwork	art_edition	art_edition	artEdition								The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example "20").
clip-number	Integer, Text	Clip	clip	clip_number	clipNumber		position						Position of the clip within an ordered group of clips.
episode-number	Integer, Text	Episode	episode	episode_number	episodeNumber		position						Position of the episode within an ordered group of episodes.
issue-number	Integer, Text	PublicationIssue	issue	issue_number	issueNumber		position	http://purl.org/ontology/bibo/issue					Identifies the issue of publication; for example, "iii" or "2".
page-end	Integer, Text	Article, Chapter, PublicationIssue, PublicationVolume	page_end	page_end	pageEnd			http://purl.org/ontology/bibo/pageEnd					The page on which the work ends; for example "138" or "xvi".
page-start	Integer, Text	Article, Chapter, PublicationIssue, PublicationVolume	page_start	page_start	pageStart			http://purl.org/ontology/bibo/pageStart					The page on which the work starts; for example "135" or "xiii".
position	Integer, Text	CreativeWork, ListItem	position	position	position				clipNumber, episodeNumber, issueNumber, seasonNumber, volumeNumber				The position of an item in a series or sequence of items.
season-number	Integer, Text	CreativeWorkSeason	season	season_number	seasonNumber		position						Position of the season within an ordered group of seasons.
volume-number	Integer, Text	PublicationVolume	volume	volume_number	volumeNumber		position	http://purl.org/ontology/bibo/volume					Identifies the volume of publication or multi-part work; for example, "iii" or "2".
