SpocWebEntityId	Version	ChangeTime	ChangeUserId	IsDeleted	IsReadOnly	IsPrivate	Id	Bahnhof	GeoLat	GeoLon
156547	1	2015-01-10	20	0	0	0	1789	Bodenweg	50.14219	8.701574
156548	1	2015-01-10	20	0	0	0	1799	Friedberger Warte	50.13954	8.698304
156549	1	2015-01-10	20	0	0	0	1809	Wasserpark	50.13581	8.696754
156550	1	2015-01-10	20	0	0	0	1819	Münzenberger Straße	50.13278	8.695279
156551	1	2015-01-10	20	0	0	0	1829	Nibelungenplatz/FH	50.12904	8.693141
156552	1	2015-01-10	20	0	0	0	1839	Rohrbachstr./Friedberger Ldstr.	50.12748	8.692468
156553	1	2015-01-10	20	0	0	0	1849	Friedberger Platz	50.12311	8.691623
156554	1	2015-01-10	20	0	0	0	1859	Hessendenkmal	50.119	8.689571
156555	1	2015-01-10	20	0	0	0	1869	Konstablerwache	50.11421	8.687984
156556	1	2015-01-10	20	0	0	0	1879	Börneplatz	50.1124	8.687428
156557	1	2015-01-10	20	0	0	0	1889	Eissporthalle/Festplatz	50.1236	8.716852
156558	1	2015-01-10	20	0	0	0	1899	Bornheim Mitte	50.12669	8.707432
156559	1	2015-01-10	20	0	0	0	1909	Burgstraße	50.12734	8.703281
156560	1	2015-01-10	20	0	0	0	1919	Günthersburgpark	50.12889	8.700394
156561	1	2015-01-10	20	0	0	0	1929	Rothschildallee	50.12808	8.695698
156562	1	2015-01-10	20	0	0	0	1939	Schwarzwaldstraße	50.0868	8.646634
156563	1	2015-01-10	20	0	0	0	1949	Odenwaldstraße	50.08648	8.642111
156564	1	2015-01-10	20	0	0	0	1959	Niederrad Haardtwaldplatz	50.0863	8.636102
156565	1	2015-01-10	20	0	0	0	1969	Hauptbahnhof	50.10773	8.664614
156566	1	2015-01-10	20	0	0	0	1979	Platz der Republik	50.10936	8.660627
156567	1	2015-01-10	20	0	0	0	1989	Güterplatz	50.10781	8.656629
156568	1	2015-01-10	20	0	0	0	1999	Speyerer Straße	50.10542	8.650518
156569	1	2015-01-10	20	0	0	0	11009	Galluswarte	50.1031	8.644609
156570	1	2015-01-10	20	0	0	0	11019	Kriegkstraße	50.10113	8.639523
156571	1	2015-01-10	20	0	0	0	11029	Galluspark	50.09941	8.635369
156572	1	2015-01-10	20	0	0	0	11039	Krifteler Str.	50.09896	8.634068
156573	1	2015-01-10	20	0	0	0	11049	Schwalbacher Straße	50.10236	8.636512
156574	1	2015-01-10	20	0	0	0	11059	Rebstöcker Straße	50.10157	8.628664
156575	1	2015-01-10	20	0	0	0	11069	Wickerer Straße	50.10096	8.622586
156576	1	2015-01-10	20	0	0	0	11079	Mönchhofstraße	50.10037	8.616296
156577	1	2015-01-10	20	0	0	0	11089	Waldschulstraße	50.10028	8.603362
156578	1	2015-01-10	20	0	0	0	11099	Linnegraben	50.10022	8.597239
156579	1	2015-01-10	20	0	0	0	11109	Jägerallee	50.10017	8.590928
156580	1	2015-01-10	20	0	0	0	11119	Birminghamstraße	50.1001	8.5801
156581	1	2015-01-10	20	0	0	0	11129	Luthmerstraße	50.09928	8.573319
156582	1	2015-01-10	20	0	0	0	11139	Nied Kirche	50.09824	8.566985
156583	1	2015-01-10	20	0	0	0	11149	Tillystraße	50.10189	8.559573
156584	1	2015-01-10	20	0	0	0	11159	Bolongaropalast	50.10157	8.553355
156585	1	2015-01-10	20	0	0	0	11169	Zuckschwerdtstraße	50.10302	8.551961
156586	1	2015-01-10	20	0	0	0	11179	Hohenstaufenstraße	50.11089	8.657535
156587	1	2015-01-10	20	0	0	0	11189	Festhalle/Messe	50.11203	8.654609
156588	1	2015-01-10	20	0	0	0	11199	Ludwig-Erhard-Anlage	50.1134	8.6518
156589	1	2015-01-10	20	0	0	0	11209	Varrentrappstraße	50.11562	8.646917
156590	1	2015-01-10	20	0	0	0	11219	Kuhwaldstraße	50.11685	8.640929
156591	1	2015-01-10	20	0	0	0	11229	An der Dammheide	50.11734	8.630308
156592	1	2015-01-10	20	0	0	0	11239	Leonardo-da-Vinci-Allee	50.11367	8.627744
156593	1	2015-01-10	20	0	0	0	11249	Rebstockbad	50.11374	8.618389
156594	1	2015-01-10	20	0	0	0	11259	Adalbert-/Schloßstraße	50.11899	8.644135
156595	1	2015-01-10	20	0	0	0	11269	Bockenheimer Warte	50.12064	8.65061
156596	1	2015-01-10	20	0	0	0	11279	Juliusstraße	50.12515	8.647013
156597	1	2015-01-10	20	0	0	0	11289	Frauenfriedenskirche	50.12847	8.646508
156598	1	2015-01-10	20	0	0	0	11299	Markus-Krankenhaus	50.13662	8.645873
156599	1	2015-01-10	20	0	0	0	11309	Ginnheim	50.13862	8.646436
156600	1	2015-01-10	20	0	0	0	11319	Hauptbahnhof Südseite	50.10567	8.663985
156601	1	2015-01-10	20	0	0	0	11329	Pforzheimer Straße	50.10435	8.662929
